Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Far_Description,Schedule,Purpose_Of_Flight,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injury_Proportion,Uninjured_Proportion
20001213X35091,Incident,ATL87IA020B,1986-11-12,"LIVINGSTON, TN",United States,,,,,Incident,,,N7014U,Boeing,727-22,No,3.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,167.0,VMC,Cruise,Probable Cause,,167.0,0.0,1.0
20001213X35091,Incident,ATL87IA020A,1986-11-12,"LIVINGSTON, TN",United States,,,,,Incident,,,N471BN,Boeing,727-227,No,3.0,Turbo Jet,,SCHD,Unknown,"Braniff Airline, Inc.",0.0,0.0,0.0,167.0,VMC,Cruise,Probable Cause,,167.0,0.0,1.0
20001213X35183,Accident,LAX87FA040A,1986-11-15,"CORONA, CA",United States,,,L66,CORONA MUNI.,Non-Fatal,Substantial,,N621SR,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,2.0,0.0,1.0,VMC,Approach,Probable Cause,30-03-1988,3.0,0.0,0.3333333333333333
20001213X35110,Incident,BFO87IA008,1986-11-16,"NORFOLK, VA",United States,,,ORF,NORFOLK,Incident,Minor,,N64323,Boeing,727-231,No,3.0,Turbo Fan,,SCHD,Unknown,Trans World Airlines,0.0,0.0,1.0,23.0,VMC,Landing,Probable Cause,,24.0,0.0,0.9583333333333334
20001213X35265,Accident,NYC87LA036,1986-11-22,"NO.ANDOVER, MA",United States,,,LWM,LAWRENCE MUNICIPAL,Non-Fatal,Substantial,,N769WM,Boeing,75,No,1.0,Reciprocating,,,Unknown,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,0.0
20001213X35287,Accident,ANC87FA021,1986-12-15,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTL,Non-Fatal,Minor,,N7635U,Boeing,727-222,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,2.0,7.0,93.0,VMC,Descent,Probable Cause,30-08-1994,102.0,0.0,0.9117647058823529
20001213X35393,Incident,MIA87IA054,1986-12-21,"MIAMI, FL",United States,,,MIA,MIAMI INTL,Incident,,,N75IPA,Boeing,747-121,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,1.0,116.0,VMC,Taxi,Probable Cause,,117.0,0.0,0.9914529914529915
20001213X35305,Accident,ATL87LA046,1986-12-22,"DUBLIN, VA",United States,,,,,Non-Fatal,Minor,,N369AU,Boeing,737-300,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,4.0,131.0,VMC,Descent,Probable Cause,,136.0,0.0,0.9632352941176471
20001213X35413,Incident,MKC87IA034,1986-12-23,"FORT SMITH, AR",United States,,,,FORT SMITH MUNICIP,Incident,Minor,,N223AS,Embraer,BRASILIA-EMB-120,No,2.0,Turbo Prop,,SCHD,Unknown,,0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,30-03-1988,6.0,0.0,1.0
20001213X30142,Incident,NYC87IA087,1987-01-03,"NEWARK, NJ",United States,,,EWR,NEWARK,Incident,,,N409PE,Boeing,737-200,No,2.0,Turbo Fan,,SCHD,Unknown,(dba: Continental Air),0.0,0.0,10.0,98.0,VMC,Landing,Probable Cause,10-07-1989,108.0,0.0,0.9074074074074074
20001213X30118,Incident,MIA87IA068,1987-01-06,"TAMPA, FL",United States,,,,,Incident,Minor,,N6819,Boeing,727-223,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,148.0,VMC,Climb,Probable Cause,10-07-1989,148.0,0.0,1.0
20001213X30131,Incident,MKC87IA043,1987-01-23,"SPRINGFIELD, MO",United States,,,SGF,SPRINGFIELD REGIONAL,Incident,Minor,,N120AM,Embraer,EMB-120,No,2.0,Turbo Prop,,SCHD,Unknown,,0.0,0.0,0.0,10.0,VMC,Landing,Probable Cause,10-07-1989,10.0,0.0,1.0
20001213X30051,Incident,CHI87IA067,1987-01-25,"FORT WAYNE, IN",United States,,,,,Incident,Minor,,N7015U,Boeing,727-122,No,3.0,Turbo Fan,,SCHD,Unknown,United Airlines,0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,10-07-1989,6.0,0.0,1.0
20001213X30197,Accident,CHI87FA081,1987-02-11,"DETROIT, MI",United States,,,DTW,DETROIT METRO WAYNE CO,Non-Fatal,,,N4718U,Boeing,747-122,No,4.0,Turbo Fan,,SCHD,Unknown,United Airlines,0.0,3.0,16.0,222.0,VMC,Standing,Probable Cause,13-08-1988,241.0,0.0,0.921161825726141
20001213X30271,Accident,LAX87LA122A,1987-02-22,"VACAVILLE, CA",United States,,,045,NUT TREE,Non-Fatal,Substantial,,N620BD,Boeing,PT-13D,No,1.0,Reciprocating,,,Personal,,0.0,1.0,4.0,0.0,VMC,Takeoff,Probable Cause,29-11-1988,5.0,0.0,0.0
20001213X30279,Accident,LAX87MA125A,1987-02-25,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Non-Fatal,,,N88704,Boeing,727-224,No,3.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,92.0,VMC,Takeoff,Probable Cause,17-10-1988,92.0,0.0,1.0
20001213X30218,Incident,DEN87IA059,1987-02-25,"DURANGO, CO",United States,,,DRO,DURANGO-LA PLATA,Incident,,,N145AW,Boeing,737-2A6,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,48.0,IMC,Landing,Probable Cause,10-07-1989,48.0,0.0,1.0
20001213X30256,Accident,LAX87FA126,1987-02-26,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Non-Fatal,,,GBDXK,Boeing,747-236B,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,11.0,375.0,VMC,Cruise,Probable Cause,03-07-1989,387.0,0.0,0.9689922480620154
20001213X30524,Accident,MKC87LA057,1987-03-05,"NORFOLK, NE",United States,,,OFK,KARL STEFAN MEM.,Non-Fatal,Substantial,,N890AC,Embraer,EMB-110,No,2.0,Turbo Prop,,SCHD,Unknown,Mid Continent Airlines,0.0,0.0,0.0,5.0,VMC,Descent,Probable Cause,30-03-1988,5.0,0.0,1.0
20001213X30432,Accident,FTW87DPJ03,1987-03-07,"FAIRMONT, OK",United States,,,,,Non-Fatal,Substantial,,N5102N,Boeing,B75N1,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,21-03-1988,1.0,0.0,0.0
20001213X30538,Incident,NYC87IA106,1987-03-10,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INT'L,Incident,Minor,,N802EA,Boeing,727-225A,No,3.0,Turbo Fan,,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,127.0,VMC,Taxi,Probable Cause,10-07-1989,127.0,0.0,1.0
20001213X30543,Accident,NYC87LA108,1987-03-10,"BURLINGTON, VT",United States,,,BTV,BURLINGTON,Non-Fatal,Substantial,,N780AL,Boeing,727,No,3.0,Turbo Fan,,SCHD,Unknown,Usair,0.0,0.0,0.0,104.0,VMC,Taxi,Probable Cause,29-11-1988,104.0,0.0,1.0
20001213X30416,Accident,DCA87RA002,1987-03-13,"CALGARY, CANADA",Canada,,,,,Non-Fatal,Substantial,,N2819W,Boeing,727-247,No,3.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,71.0,UNK,,Foreign,06-02-1995,71.0,0.0,1.0
20001213X30451,Accident,FTW87LA082,1987-03-16,"MIDLAND, TX",United States,,,,,Non-Fatal,,,N314SW,Boeing,737-300,No,2.0,Turbo Jet,,SCHD,Unknown,,0.0,1.0,0.0,58.0,VMC,Cruise,Probable Cause,09-05-1988,59.0,0.0,0.9830508474576272
20001213X30383,Accident,BFO87DIG02,1987-03-19,"CHARLESTON, SC",United States,,,,,Non-Fatal,,,XAHOH,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,Mexicana Airlines (dba: Mexicana Airlines),0.0,1.0,2.0,57.0,VMC,Cruise,Probable Cause,03-07-1989,60.0,0.0,0.95
20001213X30396,Accident,CHI87FA106,1987-03-29,"INDIANAPOLIS, IN",United States,,,,,Non-Fatal,,,N230EA,Airbus,A300B4-203,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,0.0,246.0,VMC,Cruise,Probable Cause,07-06-1989,247.0,0.0,0.9959514170040485
20001213X30579,Accident,ATL87LA102,1987-04-01,"MIAMI, FL",United States,,,MIA,MIAMI INTL,Non-Fatal,,,N1643,Boeing,727-295,No,3.0,Turbo Fan,,SCHD,Unknown,"Piedmont Aviation,inc. (dba: Piedmont Airlines)",0.0,1.0,0.0,95.0,VMC,Climb,Probable Cause,02-05-1988,96.0,0.0,0.9895833333333334
20001213X30640,Accident,DEN87LA086,1987-04-04,"BELGRADE, MT",United States,,,BZN,GALLATIN,Non-Fatal,Substantial,,N5084N,Boeing,A75L3,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,10-03-1988,1.0,0.0,1.0
20001213X30616,Incident,CHI87IA109,1987-04-07,"CHICAGO, IL",United States,,,ORD,CHIGAGO O'HARE INT'L,Incident,,,N7258U,Boeing,727-222,No,3.0,Turbo Fan,,SCHD,Unknown,United Airlines,0.0,0.0,0.0,109.0,VMC,Takeoff,Probable Cause,10-07-1989,109.0,0.0,1.0
20001213X30626,Accident,DCA87MA026,1987-04-13,"KANSAS CITY, MO",United States,,,MCI,KANSAS CITY INTL,Fatal(4),Destroyed,,N144SP,Boeing,707-351C,No,4.0,Turbo Fan,,NSCH,,,4.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,06-02-1989,4.0,1.0,0.0
20001213X30653,Accident,DEN87LA101,1987-04-16,"ARGUSVILLE, ND",United States,,,,,Non-Fatal,Substantial,,N63915,Boeing,A75N1,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,02-05-1988,1.0,0.0,0.0
20001213X30691,Accident,FTW87LA113,1987-04-30,"OKLAHOMA CITY, OK",United States,,,OKC,WILL ROGERS WORLD ARPT.,Non-Fatal,Substantial,,N8404,Boeing,707-323C,No,4.0,Turbo Jet,,NSCH,,,0.0,0.0,1.0,3.0,VMC,Taxi,Probable Cause,06-10-1988,4.0,0.0,0.75
20001213X30938,Accident,FTW87LA112,1987-05-01,"ARCOLA, TX",United States,,,AXH,HOUSTON SOUTHWEST,Non-Fatal,Substantial,,N1346M,Boeing,E75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,06-10-1988,2.0,0.0,1.0
20001213X30921,Accident,DEN87LA129,1987-05-02,"MANDAN, ND",United States,,,Y19,MANDAN,Non-Fatal,Substantial,,N75546,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-10-1988,2.0,0.0,1.0
20001213X30971,Accident,LAX87LA214,1987-05-22,"SAN ARDO, CA",United States,,,,,Non-Fatal,Substantial,,N90840,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,09-05-1988,1.0,0.0,0.0
20001213X30982,Incident,MIA87IA166,1987-05-29,"CARACAS, Venezuela",Venezuela,,,,,Incident,Minor,,N813FT,Boeing,747-245F,No,4.0,Turbo Fan,,SCHD,Unknown,Venezuelan Int'l Airways,0.0,0.0,0.0,3.0,UNK,Unknown,Probable Cause,10-07-1989,3.0,0.0,1.0
20001213X30962,Accident,LAX87FA219,1987-05-31,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Non-Fatal,,,XAFIE,Boeing,727-264,No,3.0,Turbo Fan,,SCHD,Unknown,(dba: Mexicana Airlines),0.0,2.0,9.0,142.0,VMC,Taxi,Probable Cause,03-07-1989,153.0,0.0,0.9281045751633987
20001213X31166,Incident,DEN87IA145B,1987-06-02,"CASPER, WY",United States,,,,,Incident,,,USAF,Boeing,EC-135,No,4.0,Turbo Jet,,UNK,Unknown,,0.0,0.0,0.0,72.0,VMC,Cruise,Probable Cause,17-10-1988,72.0,0.0,1.0
20001213X31166,Incident,DEN87IA145A,1987-06-02,"CASPER, WY",United States,,,,,Incident,,,N297US,Boeing,727-251,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,72.0,VMC,Cruise,Probable Cause,17-10-1988,72.0,0.0,1.0
20001213X31062,Incident,ANC87IA077,1987-06-09,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTERNATIONAL,Incident,Destroyed,,N766AS,Boeing,727-90C,No,3.0,Turbo Fan,,,Unknown,,0.0,0.0,11.0,0.0,VMC,Taxi,Probable Cause,10-07-1989,11.0,0.0,0.0
20001213X31085,Incident,ATL87IA166,1987-06-11,"COLUMBUS, OH",United States,,,CMH,PORT COLUMBUS INTL.,Incident,,,N782N,Boeing,737-200,No,2.0,Turbo Fan,,SCHD,Unknown,"Piedmont Aviation,inc.",0.0,0.0,0.0,77.0,VMC,Descent,Probable Cause,10-07-1989,77.0,0.0,1.0
20001213X31142,Incident,CHI87IA163,1987-06-18,"DETROIT, MI",United States,,,DTW,DETROIT METRO,Incident,Minor,,N515US,Boeing,757-251,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,123.0,VMC,Takeoff,Probable Cause,10-07-1989,123.0,0.0,1.0
20001213X31086,Incident,ATL87IA179B,1987-06-18,"NASHVILLE, TN",United States,,,BNA,NASHVILLE,Incident,,,N50SW,Boeing,737-2H4,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,161.0,VMC,Takeoff,Probable Cause,17-10-1988,161.0,0.0,1.0
20001213X31086,Incident,ATL87IA179A,1987-06-18,"NASHVILLE, TN",United States,,,BNA,NASHVILLE,Incident,,,N482DA,Boeing,727-232,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,161.0,VMC,Takeoff,Probable Cause,17-10-1988,161.0,0.0,1.0
20001213X31135,Accident,CHI87DEX07,1987-06-19,"MCCORDSVILLE, IN",United States,,,I21,BROOKSIDE,Non-Fatal,Destroyed,,N550LR,Boeing,E75,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,24-04-1989,1.0,0.0,0.0
20001213X31236,Accident,LAX87LA243B,1987-06-22,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INT'L,Non-Fatal,Substantial,,N141UA,Boeing,747SP,No,4.0,Turbo Fan,,SCHD,Unknown,United Airlines (dba: United Airlines),0.0,0.0,0.0,83.0,UNK,Taxi,Probable Cause,28-11-1989,83.0,0.0,1.0
20001213X31236,Accident,LAX87LA243A,1987-06-22,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INT'L,Non-Fatal,Substantial,,N184AW,Boeing,737-277,No,2.0,Turbo Fan,,SCHD,Unknown,America West Airlines,0.0,0.0,0.0,83.0,UNK,Standing,Probable Cause,28-11-1989,83.0,0.0,1.0
20001213X31387,Incident,ATL87IA201,1987-07-07,"FRANKFORT, KY",United States,,,FFT,CAPITAL CITY AIRPORT,Incident,,,N324DL,Boeing,737-232,No,2.0,Turbo Fan,,SCHD,Unknown,"Delta Airlines,inc.",0.0,0.0,0.0,32.0,VMC,Cruise,Probable Cause,10-07-1989,32.0,0.0,1.0
20001213X31631,Incident,NYC87IA199B,1987-07-09,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Incident,,,N804PA,Airbus,A-310-222,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,202.0,VMC,Cruise,Probable Cause,01-05-1989,202.0,0.0,1.0
20001213X31580,Incident,MIA87IA204,1987-07-11,"WASHINGTON, DC",United States,,,DCA,WASHINGTON NATIONAL,Incident,Minor,,N8892Z,Boeing,727-225,No,3.0,Turbo Fan,,SCHD,Unknown,Eastern Air Lines (dba: Eastern Airlines),0.0,0.0,0.0,87.0,IMC,Go-around,Probable Cause,10-07-1989,87.0,0.0,1.0
20001213X31632,Incident,NYC87IA202,1987-07-12,"BOSTON, MA",United States,,,BOS,BOSTON-LOGAN,Incident,,,N106DA,Boeing,767-232,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,159.0,IMC,Approach,Probable Cause,01-05-1989,159.0,0.0,1.0
20001213X31675,Accident,SEA87LA156,1987-07-12,"SPOKANE, WA",United States,,,SFF,FELTS FIELD,Non-Fatal,Substantial,,N400JT,Boeing,IB75A,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-10-1988,2.0,0.0,1.0
20001213X31384,Accident,ATL87FA210,1987-07-13,"ATLANTA, GA",United States,,,FTY,FULTON COUNTY,Non-Fatal,Substantial,,N211AS,Embraer,EMB-120,No,2.0,Turbo Prop,,,Personal,,0.0,0.0,0.0,2.0,VMC,,Probable Cause,24-02-1989,2.0,0.0,1.0
20001213X31591,Accident,MIA87LA214,1987-07-24,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,,LVOPA,Boeing,747-287B,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,118.0,VMC,Taxi,Probable Cause,31-08-1988,118.0,0.0,1.0
20001213X31745,Incident,CHI87IA183B,1987-08-02,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Incident,,,N566PE,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,408.0,VMC,Taxi,Probable Cause,10-07-1989,408.0,0.0,1.0
20001213X31774,Incident,DEN87IA207,1987-08-03,"DENVER, CO",United States,,,DEN,STAPLETON INT'L,Incident,Minor,,N966C,Airbus,A-300-B4-203,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,279.0,VMC,Takeoff,Probable Cause,10-07-1989,279.0,0.0,1.0
20001213X31839,Incident,LAX87IA303,1987-08-07,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Incident,,,J8163,Boeing,747-300,No,4.0,Turbo Fan,,SCHD,Unknown,Japan Airlines,0.0,0.0,0.0,363.0,VMC,Approach,Probable Cause,28-11-1989,363.0,0.0,1.0
20001213X31746,Incident,CHI87IA188A,1987-08-08,"CHICAGO, IL",United States,,,PWK,PALWAUKEE,Incident,,,CGYNE,Boeing,727-233,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,135.0,IMC,Climb,Probable Cause,10-07-1989,135.0,0.0,1.0
20001213X31904,Incident,NYC87IA227B,1987-08-09,"NEW YORK, NY",United States,,,LGA,LAGUARDIA,Incident,,,N558PE,Boeing,727,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,528.0,VMC,Approach,Probable Cause,10-07-1989,528.0,0.0,1.0
20001213X31904,Incident,NYC87IA227A,1987-08-09,"NEW YORK, NY",United States,,,LGA,LAGUARDIA,Incident,,,N93109,Boeing,747,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,528.0,VMC,Approach,Probable Cause,10-07-1989,528.0,0.0,1.0
20001213X31840,Incident,LAX87IA304,1987-08-11,"SANTA MONICA, CA",United States,,,,,Incident,,,N754UA,Boeing,737,No,2.0,Turbo Fan,,SCHD,Unknown,"American Airlines, Inc.",0.0,0.0,0.0,46.0,VMC,Descent,Probable Cause,10-07-1989,46.0,0.0,1.0
20001213X31727,Accident,BFO87FA053,1987-08-11,"WASHINGTON, DC",United States,,,IAD,DULLES INTL.,Fatal(1),,,JA182,Boeing,747-200B,No,4.0,Turbo Fan,,SCHD,Unknown,All Nippon Airways,1.0,0.0,0.0,334.0,VMC,Standing,Probable Cause,22-03-1989,335.0,0.0029850746268656717,0.9970149253731343
20001213X31758,Incident,CHI87NA194,1987-08-22,"BELLEVILLE, IL",United States,,,DLV,SCOTT AFB,Incident,Minor,,N609TW,Boeing,767-231ER,No,2.0,Turbo Fan,,SCHD,Unknown,Transworld Airlines (dba: Twa),0.0,0.0,3.0,178.0,VMC,Approach,Probable Cause,18-04-1989,181.0,0.0,0.9834254143646409
20001213X31923,Accident,NYC87LA238,1987-08-23,"BEAVER FALLS, PA",United States,,,BVI,BEAVER COUNTY,Non-Fatal,Substantial,,N93012,Boeing,B-17G,No,4.0,Reciprocating,,,Personal,,0.0,1.0,2.0,9.0,VMC,Landing,Probable Cause,11-01-1989,12.0,0.0,0.75
20001213X32139,Incident,MIA87IA237,1987-09-02,"TAMPA, FL",United States,,,TPA,TAMPA,Incident,Minor,,N844AA,Boeing,727-223,No,3.0,Turbo Jet,,SCHD,Unknown,American Airlines,0.0,0.0,4.0,36.0,VMC,Descent,Probable Cause,10-07-1989,40.0,0.0,0.9
20001213X32134,Accident,MIA87FA248,1987-09-15,"TULSA, OK",United States,,,TUL,TULSA INT'L,Non-Fatal,Substantial,,N8857E,Boeing,727,No,3.0,Turbo Fan,,SCHD,Unknown,"Eastern Airlines,inc.",0.0,0.0,0.0,62.0,VMC,Landing,Probable Cause,27-12-1988,62.0,0.0,1.0
20001213X32183,Accident,NYC87FA257,1987-09-17,"PITTSBURGH, PA",United States,,,,,Non-Fatal,,,N774AL,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,Usair,0.0,1.0,0.0,70.0,VMC,Descent,Probable Cause,16-05-1989,71.0,0.0,0.9859154929577465
20001213X32184,Accident,NYC87FA260,1987-09-18,"PHILADELPHIA, PA",United States,,,,,Non-Fatal,,,N318AU,Boeing,737,No,2.0,Turbo Fan,,SCHD,Unknown,Usair,0.0,1.0,6.0,74.0,IMC,Maneuvering,Probable Cause,31-03-1989,81.0,0.0,0.9135802469135802
20001213X32129,Accident,LAX87LA346,1987-09-26,"LAKEPORT, CA",United States,,,102,LAMPSON,Non-Fatal,Substantial,,N68853,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-10-1988,2.0,0.0,1.0
20001213X32160,Accident,MIA87RA261,1987-09-28,"FREEPORT, Bahamas",Bahamas,,,,,Fatal(1),Minor,,N876AC,Embraer,EMB-110-P-2,No,2.0,Turbo Prop,,SCHD,Unknown,,1.0,0.0,0.0,10.0,VMC,,Foreign,07-02-1995,11.0,0.09090909090909091,0.9090909090909091
20001213X32049,Accident,CHI87LA225,1987-09-28,"ROCHESTER, IN",United States,,,RCR,FULTON COUNTY,Non-Fatal,Substantial,,N61V,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,11-01-1989,3.0,0.0,1.0
20001213X32142,Incident,MIA87IA264A,1987-09-29,"HAMPTON, NY",United States,,,,,Incident,,,N8864E,Boeing,727-225,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,97.0,VMC,Cruise,Probable Cause,15-11-1989,97.0,0.0,1.0
20001213X32156,Accident,MIA87LA262,1987-09-29,"OCALA, FL",United States,,,,,Non-Fatal,Substantial,,N5190N,Boeing,E75,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,16-05-1989,2.0,0.0,0.5
20001213X32346,Accident,LAX88FA006,1987-10-04,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INT'L,Non-Fatal,Substantial,,N604P,Boeing,767-201,No,2.0,Turbo Fan,,SCHD,Unknown,"Piedmont Aviation, Inc.",0.0,0.0,0.0,148.0,VMC,Landing,Probable Cause,03-07-1989,148.0,0.0,1.0
20001213X32408,Accident,MKC88LA006,1987-10-09,"CREVE COEUR, MO",United States,,,1HO,CREVE COEUR,Non-Fatal,Substantial,,N1754M,Boeing,A-75,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,16-05-1989,2.0,0.0,1.0
20001213X32314,Accident,FTW88DQG01,1987-10-11,"FORT STOCKTON, TX",United States,,,FST,FT STOCKTON-PECOS COUNTY,Non-Fatal,Substantial,,N54279,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-01-1989,2.0,0.0,1.0
20001213X32268,Accident,BFO88DHD02,1987-10-16,"MILTON, DE",United States,,,,EAGLE CREST,Non-Fatal,Substantial,,N53488,Boeing,A75N1,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-11-1992,2.0,0.0,1.0
20001213X32388,Incident,MIA88IA020A,1987-10-27,ST CROIX,,,,STX,ALEXANDER HAMILTON,Incident,,,N375PA,Boeing,727-214,No,3.0,Turbo Fan,,SCHD,Unknown,Pan American World Airways (dba: Pan Am),0.0,0.0,0.0,68.0,VMC,Approach,Probable Cause,10-07-1989,68.0,0.0,1.0
20001213X32285,Incident,CHI88IA015A,1987-10-29,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE,Incident,,,N305UA,Boeing,737-322,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,147.0,VMC,Takeoff,Probable Cause,10-07-1989,147.0,0.0,1.0
20001213X32577,Incident,MIA88IA055B,1987-11-01,"NEWARK, NJ",United States,,,EWR,NEWARK INTL,Incident,,,N577PE,Boeing,727-243,No,3.0,Turbo Fan,,SCHD,Unknown,Continental Airlines Inc.,0.0,0.0,0.0,226.0,VMC,Approach,Probable Cause,12-09-1988,226.0,0.0,1.0
20001213X32508,Accident,DEN88DTE02,1987-11-10,"KEENESBURG, CO",United States,,,,,Fatal(1),Destroyed,,N65110,Boeing,A75N1,No,1.0,Reciprocating,,UNK,Aerial Application,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,14-02-1989,1.0,1.0,0.0
20001213X32472,Accident,ATL88LA034,1987-11-10,"RALEIGH, NC",United States,,,,,Non-Fatal,,,N315DL,Boeing,737-232,No,2.0,Turbo Fan,,SCHD,Unknown,"Delta Air Lines, Inc. (dba: Delta Airlines)",0.0,1.0,0.0,65.0,IMC,Descent,Probable Cause,14-02-1989,66.0,0.0,0.9848484848484849
20001213X32573,Accident,MIA88FA032,1987-11-11,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Non-Fatal,Minor,,N813PA,Airbus,A310,No,2.0,Turbo Fan,,SCHD,Unknown,Pan American World Airways (dba: Pan Am),0.0,3.0,32.0,105.0,VMC,Cruise,Probable Cause,31-03-1989,140.0,0.0,0.75
20001213X32545,Accident,LAX88FA057,1987-11-25,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES,Non-Fatal,,,N383AU,Boeing,737-387,No,2.0,Turbo Fan,,SCHD,Unknown,Usair,0.0,1.0,1.0,142.0,VMC,Standing,Probable Cause,03-07-1989,144.0,0.0,0.9861111111111112
20001213X32714,Incident,LAX88IA064,1987-12-01,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Incident,,,N4571M,Boeing,737-300,No,2.0,Turbo Fan,,SCHD,Unknown,"Delta Airlines, Inc.",0.0,0.0,0.0,87.0,VMC,Taxi,Probable Cause,10-07-1989,87.0,0.0,1.0
